Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
2012,NBA,2,35,Draymond Green,Michigan State,813,23299,7052,5674,4565,.452,.319,.713,28.7,8.7,7.0,5.6,61.0,.126,2.5,26.4
2012,NBA,2,52,Ognjen Kuzmić,,37,164,35,38,8,.520,,.600,4.4,0.9,1.0,0.2,0.2,.061,-5.6,-0.2
2011,NBA,1,11,Klay Thompson,Washington State,793,25844,15531,2795,1843,.453,.413,.858,32.6,19.6,3.5,2.3,55.2,.103,0.6,16.8
2011,NBA,2,44,Charles Jenkins,Hofstra,110,1334,408,100,214,.434,.182,.754,12.1,3.7,0.9,1.9,0.5,.017,-4.5,-0.8
2010,NBA,1,6,Ekpe Udoh,Baylor,384,5694,1353,1100,260,.453,.000,.718,14.8,3.5,2.9,0.7,10.4,.088,-1.4,0.8
2009,NBA,1,7,Stephen Curry,Davidson,956,32723,23668,4509,6119,.473,.426,.910,34.2,24.8,4.7,6.4,135.2,.198,6.5,70.0
2008,NBA,1,14,Anthony Randolph,LSU,252,3841,1789,1078,187,.453,.241,.740,15.2,7.1,4.3,0.7,5.8,.072,-1.6,0.4
2007,NBA,1,18,Marco Belinelli,,860,19548,8370,1769,1429,.424,.376,.846,22.7,9.7,2.1,1.7,30.5,.075,-1.3,3.3
2007,NBA,2,36,Jermareo Davidson (↳CHA),Alabama,52,433,162,96,14,.425,,.578,8.3,3.1,1.8,0.3,0.0,.000,-5.2,-0.3
2007,NBA,2,46,Stéphane Lasme,UMass,16,303,83,53,3,.451,,.594,18.9,5.2,3.3,0.2,0.3,.041,-4.4,-0.2
2006,NBA,1,9,Patrick O'Bryant,Bradley,90,524,186,127,25,.494,.000,.583,5.8,2.1,1.4,0.3,0.5,.046,-4.6,-0.3
