Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
2023,NBA,2,52,Toumani Camara (↳POR),Dayton,70,1739,527,343,87,.450,.337,.758,24.8,7.5,4.9,1.2,2.0,.055,-3.1,-0.5
2021,NBA,1,29,Day'Ron Sharpe (↳BRK),UNC,141,1864,840,749,139,.565,.364,.612,13.2,6.0,5.3,1.0,5.7,.148,-1.3,0.3
2020,NBA,1,10,Jalen Smith,Maryland,207,3406,1766,1075,157,.517,.335,.740,16.5,8.5,5.2,0.8,9.1,.128,-0.4,1.3
2019,NBA,1,6,Jarrett Culver (↳MIN),Texas Tech,144,2480,934,402,173,.401,.276,.509,17.2,6.5,2.8,1.2,-0.1,-0.001,-4.5,-1.6
2019,NBA,2,32,KZ Okpala (↳MIA),Stanford,98,965,222,148,47,.409,.286,.667,9.8,2.3,1.5,0.5,1.0,.050,-4.7,-0.7
2018,NBA,1,1,Deandre Ayton,Arizona,358,11066,5966,3761,585,.592,.244,.761,30.9,16.7,10.5,1.6,34.8,.151,1.0,8.3
2018,NBA,1,16,Zhaire Smith (↳PHI),Texas Tech,13,143,48,15,12,.378,.316,.667,11.0,3.7,1.2,0.9,0.0,.011,-6.1,-0.1
2018,NBA,2,31,Élie Okobo,,108,1677,523,188,242,.395,.315,.737,15.5,4.8,1.7,2.2,0.5,.014,-4.1,-0.9
2018,NBA,2,59,George King,Colorado,5,25,1,6,0,.000,.000,.500,5.0,0.2,1.2,0.0,-0.1,-0.225,-17.2,-0.1
2017,NBA,1,4,Josh Jackson,Kansas,291,6718,3276,1159,534,.416,.292,.680,23.1,11.3,4.0,1.8,-1.7,-0.012,-3.8,-3.1
2017,NBA,2,32,Davon Reed,Miami (FL),122,1299,373,212,92,.408,.385,.667,10.6,3.1,1.7,0.8,1.5,.054,-2.9,-0.3
