Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1998,NBA,2,48,Ryan Stack,South Carolina,43,397,99,79,10,.352,.000,.787,9.2,2.3,1.8,0.2,0.2,.028,-6.7,-0.5
1997,NBA,1,13,Derek Anderson,Kentucky,615,17975,7357,1988,2083,.408,.341,.853,29.2,12.0,3.2,3.4,43.9,.117,1.0,13.5
1997,NBA,1,16,Brevin Knight,Stanford,729,18176,5342,1785,4481,.412,.134,.789,24.9,7.3,2.4,6.1,32.6,.086,0.3,10.5
1997,NBA,2,45,Cedric Henderson,Memphis,260,6182,1885,755,419,.436,.140,.715,23.8,7.3,2.9,1.6,3.3,.026,-2.8,-1.3
1996,NBA,1,12,Vitaly Potapenko,Wright State University,610,11608,3995,2725,418,.479,.167,.694,19.0,6.5,4.5,0.7,15.5,.064,-4.0,-5.9
1996,NBA,1,20,Zydrunas Ilgauskas,,843,22965,10976,6191,955,.476,.310,.780,27.2,13.0,7.3,1.1,66.3,.139,-0.2,10.2
1996,NBA,2,56,Reggie Geary,Arizona,101,931,209,82,110,.344,.328,.493,9.2,2.1,0.8,1.1,0.6,.032,-2.5,-0.1
1995,NBA,1,17,Bob Sura,Florida State,657,15597,5654,2240,2474,.414,.325,.689,23.7,8.6,3.4,3.8,28.3,.087,0.4,9.4
1995,NBA,2,39,Donny Marshall,UConn,119,919,293,121,36,.321,.336,.681,7.7,2.5,1.0,0.3,0.9,.045,-3.8,-0.4
1993,NBA,1,22,Chris Mills,Arizona,568,17282,6357,2808,1063,.432,.351,.817,30.4,11.2,4.9,1.9,37.7,.105,-0.5,6.8
1991,NBA,1,11,Terrell Brandon,Oregon,724,21545,9994,2174,4407,.448,.355,.873,29.8,13.8,3.0,6.1,65.9,.147,3.6,30.3
1991,NBA,2,39,Jimmy Oliver,Purdue,78,856,331,80,55,.407,.340,.772,11.0,4.2,1.0,0.7,0.3,.018,-4.7,-0.6
1990,NBA,2,52,Stefano Rusconi (↳PHO),,7,30,8,6,3,.333,,.400,4.3,1.1,0.9,0.4,-0.1,-0.104,-11.4,-0.1
1989,NBA,1,25,John Morton,Seton Hall,128,1879,609,161,342,.386,.224,.787,14.7,4.8,1.3,2.7,0.5,.013,-3.0,-0.5
1989,NBA,2,43,Chucky Brown,NC State,694,11962,4125,2148,549,.491,.227,.699,17.2,5.9,3.1,0.8,19.0,.076,-2.7,-2.0
