Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,WS,WS/48,BPM,VORP,Team,Successful Pick
2009,NBA,2,31,Jeff Ayres (↳POR),Arizona State,237.0,2322.0,690.0,632.0,99.0,0.553,0.4,0.776,9.8,2.9,2.7,0.4,6.3,0.131,-2.3,-0.2,Kings,False
2008,NBA,1,12,Jason Thompson,Rider University,588.0,14819.0,5210.0,3880.0,635.0,0.496,0.143,0.657,25.2,8.9,6.6,1.1,23.8,0.077,-2.6,-2.4,Kings,False
2008,NBA,2,42,Sean Singletary (↳HOU ↳PHO),Virginia,37.0,303.0,90.0,35.0,29.0,0.365,0.4,0.857,8.2,2.4,0.9,0.8,0.0,0.006,-5.1,-0.2,Kings,False
2008,NBA,2,43,Patrick Ewing (↳HOU ↳NYK),Georgetown,7.0,19.0,3.0,2.0,2.0,0.0,0.0,0.75,2.7,0.4,0.3,0.3,-0.1,-0.158,-9.1,0.0,Kings,False
2007,NBA,1,10,Spencer Hawes,Washington,684.0,15541.0,5932.0,3893.0,1271.0,0.457,0.35,0.716,22.7,8.7,5.7,1.9,22.6,0.07,-1.1,3.4,Kings,False
2006,NBA,1,19,Quincy Douby,Rutgers University,143.0,1535.0,588.0,152.0,93.0,0.389,0.312,0.884,10.7,4.1,1.1,0.7,0.0,0.0,-3.5,-0.6,Kings,False
2005,NBA,1,23,Francisco García,Louisville,549.0,11853.0,4323.0,1400.0,747.0,0.427,0.357,0.799,21.6,7.9,2.6,1.4,18.2,0.074,-0.1,5.7,Kings,True
2004,NBA,1,26,Kevin Martin,Western Carolina University,714.0,21559.0,12396.0,2278.0,1352.0,0.437,0.384,0.87,30.2,17.4,3.2,1.9,61.3,0.137,1.0,16.1,Kings,True
2002,NBA,1,28,Dan Dickau (↳ATL),Gonzaga,300.0,4617.0,1745.0,405.0,752.0,0.401,0.341,0.831,15.4,5.8,1.4,2.5,5.9,0.061,-1.5,0.6,Kings,False
2001,NBA,1,25,Gerald Wallace,Alabama,832.0,24731.0,9933.0,4838.0,1725.0,0.469,0.312,0.709,29.7,11.9,5.8,2.1,59.7,0.116,1.8,23.5,Kings,True
2000,NBA,1,16,Hedo Türkoğlu,,997.0,26695.0,11022.0,3971.0,2832.0,0.426,0.384,0.784,26.8,11.1,4.0,2.8,63.3,0.114,0.9,19.6,Kings,False
2000,NBA,2,45,Jabari Smith,LSU,108.0,1063.0,329.0,178.0,66.0,0.413,0.125,0.69,9.8,3.0,1.6,0.6,1.3,0.058,-4.3,-0.6,Kings,False
1999,NBA,2,45,Ryan Robertson,Kansas,1.0,25.0,5.0,0.0,0.0,0.333,0.0,1.0,25.0,5.0,0.0,0.0,0.0,-0.022,-5.4,0.0,Kings,False
1998,NBA,1,7,Jason Williams,Florida,788.0,23188.0,8266.0,1810.0,4611.0,0.398,0.327,0.813,29.4,10.5,2.3,5.9,38.5,0.08,0.2,12.9,Kings,True
1998,NBA,2,36,Jerome James,Florida A&M,358.0,4771.0,1540.0,1099.0,118.0,0.485,0.0,0.617,13.3,4.3,3.1,0.3,2.9,0.029,-4.9,-3.5,Kings,False
1997,NBA,1,11,Tariq Abdul-Wahad,San Jose State,236.0,4807.0,1830.0,776.0,266.0,0.417,0.237,0.703,20.4,7.8,3.3,1.1,3.5,0.035,-3.0,-1.2,Kings,False
1997,NBA,2,40,Anthony Johnson,College of Charleston,793.0,15552.0,4432.0,1358.0,2274.0,0.414,0.356,0.745,19.6,5.6,1.7,2.9,23.2,0.072,-1.5,2.0,Kings,True
1996,NBA,1,14,Peja Stojaković,,804.0,26966.0,13647.0,3782.0,1408.0,0.45,0.401,0.895,33.5,17.0,4.7,1.8,82.6,0.147,1.9,26.2,Kings,True
1996,NBA,2,41,Jason Sasser,Texas Tech,14.0,108.0,30.0,15.0,4.0,0.412,0.333,0.5,7.7,2.1,1.1,0.3,0.0,-0.014,-5.7,-0.1,Kings,False
1995,NBA,1,13,Corliss Williamson,Arkansas,822.0,18749.0,9147.0,3183.0,972.0,0.49,0.136,0.714,22.8,11.1,3.9,1.2,34.7,0.089,-2.0,-0.1,Kings,False
1995,NBA,2,47,Tyus Edney,UCLA,226.0,4743.0,1728.0,393.0,910.0,0.405,0.322,0.806,21.0,7.6,1.7,4.0,6.8,0.068,-1.5,0.7,Kings,True
1994,NBA,1,8,Brian Grant,Xavier,756.0,21417.0,7933.0,5622.0,923.0,0.49,0.214,0.746,28.3,10.5,7.4,1.2,54.5,0.122,-0.8,6.2,Kings,False
1994,NBA,2,35,Michael Smith,Providence,449.0,10552.0,2527.0,3193.0,661.0,0.538,0.143,0.529,23.5,5.6,7.1,1.5,23.4,0.107,-0.1,5.1,Kings,False
1994,NBA,2,51,Lawrence Funderburke,Ohio State,318.0,4726.0,2031.0,1142.0,183.0,0.506,0.118,0.675,14.9,6.4,3.6,0.6,12.9,0.131,-0.5,1.8,Kings,True
1993,NBA,1,7,Bobby Hurley,Duke,269.0,4170.0,1032.0,283.0,880.0,0.353,0.272,0.769,15.5,3.8,1.1,3.3,-1.2,-0.014,-5.4,-3.5,Kings,False
